Date,Open,High,Low,Close,Volume
1-Dec-17,31.82,31.94,30.23,30.74,3816966
30-Nov-17,31.80,32.30,31.04,31.93,3973167
29-Nov-17,30.85,32.15,30.84,31.83,3013484
28-Nov-17,30.25,30.93,29.48,30.72,3052980
27-Nov-17,29.80,30.24,29.17,30.07,2706005
24-Nov-17,30.15,30.15,29.47,29.90,822319
22-Nov-17,30.00,30.26,29.67,30.06,4209943
21-Nov-17,28.83,30.25,28.69,30.00,2899091
20-Nov-17,28.76,29.07,28.32,28.99,3554985
17-Nov-17,28.94,29.17,28.19,29.05,3548583
16-Nov-17,28.80,29.71,28.61,29.25,5000176
15-Nov-17,28.10,28.72,27.52,28.43,5098760
14-Nov-17,26.39,29.50,25.61,28.52,13625749
13-Nov-17,25.13,26.12,23.77,25.86,5764962
10-Nov-17,25.73,25.83,24.45,24.95,4382257
9-Nov-17,24.67,26.08,24.62,25.73,5502942
8-Nov-17,25.54,25.69,24.77,24.79,6085187
7-Nov-17,26.85,27.07,25.44,25.72,4626589
6-Nov-17,26.85,27.26,26.34,26.85,7522103
3-Nov-17,27.01,28.23,26.86,27.04,4795032
2-Nov-17,27.37,28.59,26.95,27.25,10218465
1-Nov-17,30.07,31.65,26.56,28.03,50450038
31-Oct-17,41.94,42.96,41.46,42.60,3479600
30-Oct-17,43.73,43.73,41.23,42.05,2602732
27-Oct-17,43.27,43.58,42.66,43.40,1881586
26-Oct-17,42.64,43.45,41.88,43.27,2228235
25-Oct-17,43.65,43.65,41.90,42.59,4734891
24-Oct-17,44.10,44.44,42.51,43.60,4595260
23-Oct-17,44.84,44.87,43.52,44.15,2081552
20-Oct-17,45.30,45.97,44.46,45.13,3201179
19-Oct-17,40.67,45.30,40.32,45.08,6685528
18-Oct-17,41.78,41.78,40.65,40.65,1538326
17-Oct-17,41.76,41.98,40.95,41.78,1719399
16-Oct-17,40.80,41.68,40.67,41.45,2671830
13-Oct-17,40.87,41.39,39.66,40.74,2306591
12-Oct-17,41.59,41.84,40.71,41.65,2370330
11-Oct-17,42.13,42.68,42.13,42.22,72780
10-Oct-17,43.03,43.47,42.27,42.38,1316010
9-Oct-17,44.33,44.45,42.71,42.93,1915006
6-Oct-17,44.51,44.82,43.59,44.54,1616805
5-Oct-17,44.45,45.04,44.45,44.57,918635
4-Oct-17,45.10,45.20,44.51,44.57,1353508
3-Oct-17,45.19,45.19,44.21,44.85,1503286
2-Oct-17,44.88,45.34,44.46,44.97,1927597
29-Sep-17,44.01,45.11,43.67,44.95,2540652
28-Sep-17,42.56,44.16,42.50,44.00,2176893
27-Sep-17,43.53,43.66,42.62,42.80,1510848
26-Sep-17,43.64,44.30,42.71,43.27,3107447
25-Sep-17,44.79,45.32,43.37,43.62,1746411
22-Sep-17,44.63,45.33,42.91,44.69,3133677
21-Sep-17,44.56,44.81,43.91,44.76,1817140
20-Sep-17,43.12,45.10,43.10,44.37,3756238
19-Sep-17,46.11,46.55,43.10,43.11,11219790
18-Sep-17,48.70,48.70,47.32,47.67,2524119
15-Sep-17,49.18,49.18,47.92,48.49,2239404
14-Sep-17,49.86,50.11,49.17,49.25,1738006
13-Sep-17,50.23,50.37,49.48,49.75,1993270
12-Sep-17,50.63,51.12,50.24,50.29,1365238
11-Sep-17,49.61,50.91,49.50,50.62,2560566
8-Sep-17,48.43,49.79,47.47,49.25,3859265
7-Sep-17,48.80,49.25,47.57,48.50,2225119
6-Sep-17,51.09,51.20,48.26,48.77,2290382
5-Sep-17,52.15,52.29,50.74,50.93,2426231
1-Sep-17,52.59,52.71,51.90,52.31,851491
31-Aug-17,51.76,52.72,51.06,52.41,1364981
30-Aug-17,51.00,51.65,50.57,51.52,1536913
29-Aug-17,51.24,51.34,50.44,51.13,1523782
28-Aug-17,52.14,52.22,51.07,51.53,1563237
25-Aug-17,50.91,52.12,50.78,52.05,1298633
24-Aug-17,50.95,51.56,50.69,50.82,1109929
23-Aug-17,51.34,51.37,50.75,50.87,1081527
22-Aug-17,51.17,51.73,50.93,51.41,1673156
21-Aug-17,50.29,51.36,49.82,51.26,1914690
18-Aug-17,49.88,50.45,49.56,50.21,1433281
17-Aug-17,50.80,52.03,49.82,49.88,1549208
16-Aug-17,50.94,51.35,50.62,51.02,1189545
15-Aug-17,51.41,51.41,50.22,50.81,1735063
14-Aug-17,53.09,53.23,51.09,51.32,1644479
11-Aug-17,52.71,53.26,52.44,52.89,1356946
10-Aug-17,53.99,54.00,51.44,52.77,3299062
9-Aug-17,55.32,55.64,54.17,54.35,2378423
8-Aug-17,56.13,58.05,54.98,55.55,3357815
7-Aug-17,55.75,55.91,54.63,55.05,2273303
4-Aug-17,54.92,55.81,54.82,55.79,1908776
3-Aug-17,54.33,54.96,53.82,54.82,2200796
2-Aug-17,55.60,55.94,54.52,54.75,1862203
1-Aug-17,56.88,57.30,55.69,55.98,1476518
31-Jul-17,-,56.65,-,56.43,1806096
28-Jul-17,56.81,56.85,55.92,56.16,1945105
27-Jul-17,57.75,58.10,56.60,56.78,1418436
26-Jul-17,58.27,58.85,57.15,58.15,2290182
25-Jul-17,60.22,60.42,58.53,58.88,2101733
24-Jul-17,62.50,62.79,59.01,60.28,3017862
21-Jul-17,62.92,63.25,62.12,62.61,588123
20-Jul-17,62.25,63.31,61.99,62.94,630696
19-Jul-17,61.20,62.25,61.09,62.23,845320
18-Jul-17,61.77,61.77,60.90,61.14,709127
17-Jul-17,62.08,62.25,61.35,61.65,933866
14-Jul-17,61.49,62.12,61.18,61.79,850218
13-Jul-17,61.88,62.09,61.11,61.30,692506
12-Jul-17,61.50,62.28,61.02,61.87,827153
11-Jul-17,60.76,61.36,60.29,61.16,774798
10-Jul-17,61.51,61.64,60.59,60.84,772811
7-Jul-17,60.66,61.73,60.13,61.65,847828
6-Jul-17,61.84,62.04,60.42,60.58,873521
5-Jul-17,61.07,62.35,61.07,62.29,914377
3-Jul-17,62.69,62.69,61.18,61.40,777335
30-Jun-17,62.43,62.98,62.25,62.67,1286120
29-Jun-17,63.28,63.78,61.74,62.16,1254151
28-Jun-17,63.12,64.00,63.02,63.36,1550781
27-Jun-17,62.27,63.22,62.22,62.67,1619791
26-Jun-17,60.62,62.53,60.33,62.21,2054726
23-Jun-17,60.66,61.15,60.36,60.65,2861807
22-Jun-17,58.23,61.05,58.17,60.30,2617660
21-Jun-17,58.40,59.47,57.93,58.24,1737139
20-Jun-17,58.80,58.89,57.81,58.14,1624949
19-Jun-17,58.60,59.13,57.96,58.86,1628891
16-Jun-17,57.83,58.75,57.46,58.63,1808390
15-Jun-17,57.60,57.88,56.96,57.71,1131660
14-Jun-17,57.04,57.86,56.64,57.74,1793255
13-Jun-17,57.00,57.22,56.44,56.73,980141
12-Jun-17,56.21,57.20,55.99,56.95,1944644
9-Jun-17,54.67,56.32,54.51,56.15,2014573
8-Jun-17,54.90,54.91,54.31,54.61,1328562
7-Jun-17,55.29,55.47,54.71,54.90,1193440
6-Jun-17,55.34,55.58,54.87,55.11,1002995
5-Jun-17,55.56,56.14,55.20,55.42,1111260
2-Jun-17,55.83,55.98,55.29,55.73,981605
1-Jun-17,54.84,56.04,54.50,55.92,1154504
31-May-17,54.83,54.94,53.75,54.61,1820263
30-May-17,54.70,55.26,54.43,54.86,990429
26-May-17,55.89,55.89,54.74,55.18,749544
25-May-17,55.68,56.31,55.40,56.03,577968
24-May-17,55.43,55.74,55.13,55.44,722823
23-May-17,55.72,56.26,55.10,55.56,1256610
22-May-17,55.67,56.40,55.67,55.71,806833
19-May-17,56.02,56.32,55.57,55.91,696926
18-May-17,55.97,56.36,55.65,55.86,765299
17-May-17,56.23,56.68,55.38,55.69,1089508
16-May-17,57.05,57.24,55.96,56.15,1767098
15-May-17,56.61,57.59,56.43,57.40,1676183
12-May-17,57.39,57.42,56.35,56.57,1009418
11-May-17,56.62,57.58,56.25,57.43,1834047
10-May-17,55.99,56.97,55.90,56.66,1226044
9-May-17,56.31,56.47,55.45,55.99,1080666
8-May-17,57.38,57.40,56.17,56.22,1705431
5-May-17,57.90,58.16,57.45,57.55,1239613
4-May-17,57.65,58.00,56.46,57.76,1912315
3-May-17,60.01,61.70,58.22,58.22,4870098
2-May-17,56.27,58.42,56.27,58.32,2186439
1-May-17,55.97,56.86,55.97,56.18,1700248
28-Apr-17,55.37,56.16,54.91,56.03,1770008
27-Apr-17,55.44,56.15,55.09,55.39,1312097
26-Apr-17,55.25,56.02,55.02,55.33,1878439
25-Apr-17,55.07,55.42,54.44,54.99,1492572
24-Apr-17,54.92,55.42,54.22,55.21,1487056
21-Apr-17,55.17,55.99,54.43,54.54,1679982
20-Apr-17,57.00,57.02,53.12,55.36,4855307
19-Apr-17,58.60,59.07,57.24,57.46,1743685
18-Apr-17,58.88,59.35,58.15,58.65,1541181
17-Apr-17,60.08,60.14,59.01,59.43,3259727
13-Apr-17,60.05,60.69,59.92,60.07,1390758
12-Apr-17,60.71,60.81,59.61,60.30,1491748
11-Apr-17,60.49,60.81,60.30,60.76,1423663
10-Apr-17,60.15,60.85,59.93,60.67,914655
7-Apr-17,60.26,60.45,59.31,60.14,994295
6-Apr-17,60.32,60.56,59.48,60.44,1074436
5-Apr-17,60.24,61.20,60.08,60.36,1910870
4-Apr-17,60.88,60.88,59.01,60.18,1739664
3-Apr-17,61.34,61.72,60.76,60.99,2034363
31-Mar-17,61.50,61.75,60.96,61.32,1288425
30-Mar-17,61.95,62.40,60.99,61.38,2830556
29-Mar-17,63.60,63.93,62.37,62.38,1506860
28-Mar-17,64.48,64.78,62.89,63.90,1389466
27-Mar-17,64.51,66.40,64.17,64.78,1458122
24-Mar-17,62.29,64.38,62.09,64.25,1965845
23-Mar-17,61.89,62.43,61.66,62.27,1291934
22-Mar-17,62.08,62.13,61.12,61.89,1117836
21-Mar-17,63.10,63.50,62.00,62.09,1598144
20-Mar-17,63.87,63.88,63.03,63.16,973890
17-Mar-17,64.38,64.42,63.29,63.90,1438652
16-Mar-17,64.77,65.12,64.20,64.32,895042
15-Mar-17,64.63,64.98,64.22,64.76,1276071
14-Mar-17,65.82,65.90,63.94,64.44,1704579
13-Mar-17,66.70,67.30,65.58,65.76,1354299
10-Mar-17,65.85,67.45,65.85,66.80,2370445
9-Mar-17,66.70,67.14,65.34,65.75,1622239
8-Mar-17,66.00,66.86,65.87,66.75,1704544
7-Mar-17,67.34,67.73,65.18,66.14,2001367
6-Mar-17,68.74,69.21,67.22,67.75,1724075
3-Mar-17,66.05,67.78,65.76,67.71,2359457
2-Mar-17,65.53,66.04,64.50,66.01,3310011
1-Mar-17,64.69,65.68,62.52,65.59,7652315
28-Feb-17,72.17,72.45,69.30,70.00,2703989
27-Feb-17,71.40,72.50,70.77,72.41,1241882
24-Feb-17,70.44,71.41,70.21,71.39,885054
23-Feb-17,71.33,71.34,70.04,70.55,677065
22-Feb-17,72.02,72.96,71.06,71.23,754214
21-Feb-17,72.01,73.00,71.25,72.48,1242498
17-Feb-17,69.23,72.06,68.95,71.59,1498900
16-Feb-17,70.15,71.45,68.13,69.26,1633769
15-Feb-17,67.80,70.49,67.80,70.18,1188359
14-Feb-17,67.73,68.69,67.53,68.09,901463
13-Feb-17,68.60,68.68,66.81,67.65,1337090
10-Feb-17,70.73,70.89,68.31,68.44,1529487
9-Feb-17,69.88,71.35,69.56,70.87,1104144
8-Feb-17,68.63,70.26,68.45,69.92,909657
7-Feb-17,68.72,69.28,68.15,68.99,645325
6-Feb-17,69.67,69.80,68.68,68.88,484603
3-Feb-17,69.04,69.67,68.65,69.39,727814
2-Feb-17,68.51,69.64,68.51,68.84,858925
1-Feb-17,68.00,69.13,68.00,68.90,809647
31-Jan-17,66.96,68.00,66.75,68.00,662716
30-Jan-17,68.19,68.19,66.06,66.94,920259
27-Jan-17,68.29,68.40,67.73,68.14,542571
26-Jan-17,68.68,69.14,67.99,68.02,565397
25-Jan-17,68.24,69.10,68.00,68.95,644700
24-Jan-17,67.74,68.46,67.28,68.18,1278850
23-Jan-17,67.24,67.72,66.26,67.50,1118368
20-Jan-17,67.49,67.65,66.64,67.19,1069009
19-Jan-17,68.79,68.80,67.07,67.43,1027716
18-Jan-17,68.99,69.57,68.36,68.92,1368038
17-Jan-17,67.04,68.89,66.23,68.54,1222258
13-Jan-17,67.91,68.26,67.06,67.27,827372
12-Jan-17,66.80,67.95,66.20,67.83,1176050
11-Jan-17,65.37,67.19,65.00,66.98,1246960
10-Jan-17,66.98,67.95,65.01,65.22,1437966
9-Jan-17,65.64,67.95,65.64,67.25,1289142
6-Jan-17,65.62,66.02,64.46,65.62,1041013
5-Jan-17,67.00,68.36,65.82,65.94,1814299
4-Jan-17,63.71,66.78,63.10,66.52,1559900
3-Jan-17,64.14,64.88,63.09,63.31,1461940
30-Dec-16,64.16,64.64,63.07,63.29,1224029
29-Dec-16,64.97,64.97,64.00,64.31,1337813
28-Dec-16,65.06,65.73,64.29,64.61,1166885
27-Dec-16,65.74,66.65,65.29,65.78,723023
23-Dec-16,64.62,65.56,64.62,65.34,609191
22-Dec-16,65.35,66.12,64.00,64.96,1522064
21-Dec-16,64.90,66.00,63.90,65.64,2116361
20-Dec-16,65.63,65.82,64.68,65.11,1417572
19-Dec-16,66.19,67.43,64.94,65.30,1327467
16-Dec-16,65.56,66.55,65.44,65.85,3206871
15-Dec-16,66.05,67.30,65.55,65.86,1341281
14-Dec-16,68.12,68.56,65.79,66.00,1897094
13-Dec-16,70.04,70.84,68.08,68.59,2323357
12-Dec-16,71.65,71.65,69.11,69.75,1600083
9-Dec-16,70.59,71.73,68.90,71.68,1261991
8-Dec-16,69.47,70.21,68.05,70.21,1863593
7-Dec-16,73.01,73.72,68.88,69.19,2388256
6-Dec-16,71.55,74.19,71.29,71.70,2414604
5-Dec-16,70.36,74.74,70.36,71.75,3297416
2-Dec-16,66.25,72.00,64.38,69.91,2727446

